Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Churn,ticket_length,engagement_score,has_complaint
790,2.0,28,0,41,56.0,0
399,3.0,28,1,41,84.0,0
646,3.0,110,0,43,330.0,0
113,2.0,21,0,41,42.0,0
322,2.0,7,1,54,14.0,1
8,3.0,40,0,41,120.0,0
436,0.0,3,1,56,0.0,0
973,2.0,20,0,41,40.0,0
305,3.0,25,0,41,75.0,0
26,3.0,35,0,37,105.0,0
726,0.0,9,1,54,0.0,1
911,3.0,18,0,28,54.0,0
1017,0.0,7,1,49,0.0,0
791,3.0,17,0,41,51.0,0
599,3.0,46,0,44,138.0,0
19,2.0,26,0,40,52.0,0
691,0.0,1,1,56,0.0,0
496,0.0,11,1,57,0.0,0
691,3.0,32,1,50,96.0,0
8,3.0,57,0,41,171.0,0
64,2.0,57,0,41,114.0,0
922,2.0,27,0,41,54.0,0
98,0.0,2,1,60,0.0,0
710,2.0,51,0,50,102.0,0
152,3.0,38,0,40,114.0,0
466,2.0,41,0,50,82.0,0
366,0.0,2,1,57,0.0,0
747,2.0,10,1,49,20.0,0
892,2.0,13,1,60,26.0,0
1044,3.0,81,0,53,243.0,0
112,2.0,8,1,54,16.0,1
330,0.0,8,1,60,0.0,0
440,2.0,1,1,54,2.0,0
1083,2.0,55,0,41,110.0,0
801,3.0,23,0,41,69.0,0
139,0.0,12,0,56,0.0,0
968,2.0,47,0,41,94.0,0
570,3.0,105,0,53,315.0,0
383,2.0,39,0,40,78.0,0
382,3.0,58,0,41,174.0,0
917,0.0,12,1,54,0.0,1
835,2.0,6,1,56,12.0,0
506,0.0,4,1,56,0.0,0
575,3.0,68,0,43,204.0,0
446,2.0,15,1,41,30.0,0
698,3.0,65,0,44,195.0,0
903,3.0,27,0,40,81.0,0
56,2.0,42,0,41,84.0,0
1049,2.0,1,1,57,2.0,0
894,0.0,1,1,54,0.0,1
676,2.0,3,1,54,6.0,1
415,3.0,40,1,37,120.0,0
47,3.0,113,0,53,339.0,0
792,2.0,27,0,28,54.0,0
344,3.0,60,0,41,180.0,0
939,3.0,25,0,41,75.0,0
751,0.0,14,1,54,0.0,0
601,3.0,101,0,40,303.0,0
1049,3.0,45,0,37,135.0,0
395,3.0,51,0,40,153.0,0
1023,0.0,7,1,57,0.0,0
237,2.0,23,1,37,46.0,0
873,2.0,51,0,37,102.0,0
874,3.0,53,0,40,159.0,0
175,3.0,112,0,44,336.0,0
979,2.0,18,0,41,36.0,0
1052,2.0,51,1,50,102.0,0
1080,0.0,5,1,60,0.0,0
131,3.0,19,0,50,57.0,0
923,3.0,15,0,41,45.0,0
818,3.0,19,0,28,57.0,0
830,3.0,52,1,50,156.0,0
102,2.0,31,0,36,62.0,0
921,2.0,57,0,36,114.0,0
265,0.0,5,1,57,0.0,0
173,3.0,110,0,49,330.0,0
326,2.0,18,0,36,36.0,0
38,3.0,119,0,40,357.0,0
131,2.0,29,0,36,58.0,0
874,3.0,70,0,43,210.0,0
627,2.0,55,0,36,110.0,0
525,3.0,15,0,37,45.0,0
1093,2.0,46,0,50,92.0,0
991,2.0,20,0,28,40.0,0
684,0.0,5,1,49,0.0,0
926,3.0,58,0,50,174.0,0
555,2.0,23,0,36,46.0,0
666,0.0,3,0,56,0.0,0
313,2.0,8,1,54,16.0,1
504,3.0,23,1,40,69.0,0
543,3.0,51,0,37,153.0,0
533,2.0,51,0,41,102.0,0
815,3.0,22,0,50,66.0,0
